"TOA5","Mdv_early","CR350","6776","CR350.Std.01.04","CPU:Cotton_Commission_2024.CRB","37476","Daily"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Avg","VWC_NC_5cm_Avg","EC_NC_5cm_Avg","T_NC_5cm_Avg","P_NC_5cm_Avg","PA_NC_5cm_Avg","VR_NC_5cm_Avg","VWC_NC_20cm_Avg","EC_NC_20cm_Avg","T_NC_20cm_Avg","P_NC_20cm_Avg","PA_NC_20cm_Avg","VR_NC_20cm_Avg","VWC_PB_5cm_Avg","EC_PB_5cm_Avg","T_PB_5cm_Avg","P_PB_5cm_Avg","PA_PB_5cm_Avg","VR_PB_5cm_Avg","VWC_PB_20cm_Avg","EC_PB_20cm_Avg","T_PB_20cm_Avg","P_PB_20cm_Avg","PA_PB_20cm_Avg","VR_PB_20cm_Avg","VWC_PG_5cm_Avg","EC_PG_5cm_Avg","T_PG_5cm_Avg","P_PG_5cm_Avg","PA_PG_5cm_Avg","VR_PG_5cm_Avg","VWC_PG_20cm_Avg","EC_PG_20cm_Avg","T_PG_20cm_Avg","P_PG_20cm_Avg","PA_PG_20cm_Avg","VR_PG_20cm_Avg","VWC_NC_5cm_Max","EC_NC_5cm_Max","T_NC_5cm_Max","P_NC_5cm_Max","PA_NC_5cm_Max","VR_NC_5cm_Max","VWC_NC_20cm_Max","EC_NC_20cm_Max","T_NC_20cm_Max","P_NC_20cm_Max","PA_NC_20cm_Max","VR_NC_20cm_Max","VWC_PB_5cm_Max","EC_PB_5cm_Max","T_PB_5cm_Max","P_PB_5cm_Max","PA_PB_5cm_Max","VR_PB_5cm_Max","VWC_PB_20cm_Max","EC_PB_20cm_Max","T_PB_20cm_Max","P_PB_20cm_Max","PA_PB_20cm_Max","VR_PB_20cm_Max","VWC_PG_5cm_Max","EC_PG_5cm_Max","T_PG_5cm_Max","P_PG_5cm_Max","PA_PG_5cm_Max","VR_PG_5cm_Max","VWC_PG_20cm_Max","EC_PG_20cm_Max","T_PG_20cm_Max","P_PG_20cm_Max","PA_PG_20cm_Max","VR_PG_20cm_Max","VWC_NC_5cm_Min","EC_NC_5cm_Min","T_NC_5cm_Min","P_NC_5cm_Min","PA_NC_5cm_Min","VR_NC_5cm_Min","VWC_NC_20cm_Min","EC_NC_20cm_Min","T_NC_20cm_Min","P_NC_20cm_Min","PA_NC_20cm_Min","VR_NC_20cm_Min","VWC_PB_5cm_Min","EC_PB_5cm_Min","T_PB_5cm_Min","P_PB_5cm_Min","PA_PB_5cm_Min","VR_PB_5cm_Min","VWC_PB_20cm_Min","EC_PB_20cm_Min","T_PB_20cm_Min","P_PB_20cm_Min","PA_PB_20cm_Min","VR_PB_20cm_Min","VWC_PG_5cm_Min","EC_PG_5cm_Min","T_PG_5cm_Min","P_PG_5cm_Min","PA_PG_5cm_Min","VR_PG_5cm_Min","VWC_PG_20cm_Min","EC_PG_20cm_Min","T_PG_20cm_Min","P_PG_20cm_Min","PA_PG_20cm_Min","VR_PG_20cm_Min"
"TS","RN","Volts","Deg C","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min"
"2024-05-23 00:00:00",0,12.97,29.53,0.146,0.061,30.1,7.91,1.416,1.074,0.203,0.11,28.23,10.75,1.521,1.134,0.134,0.056,27.47,7.371,1.406,1.069,0.148,0.052,26.14,8.03,1.421,1.065,0.133,0.043,26.85,7.31,1.393,1.053,0.199,0.077,25.69,10.56,1.511,1.094,0.147,0.063,32.1,7.952,1.417,1.077,0.203,0.112,28.77,10.76,1.521,1.137,0.136,0.059,28.59,7.467,1.41,1.073,0.149,0.053,26.54,8.06,1.422,1.067,0.143,0.049,38.81,7.773,1.411,1.06,0.202,0.079,36.64,10.71,1.517,1.096,0.145,0.058,26.94,7.86,1.414,1.07,0.202,0.108,27.56,10.72,1.52,1.132,0.13,0.052,25.5,7.19,1.399,1.065,0.147,0.05,25.53,7.968,1.419,1.062,0,-0.001,25.01,1,1.085,1,0,-0.001,25.1,1,1.095,1
"2024-05-24 00:00:00",1,12.92,27.49,0.142,0.06,28.7,7.736,1.41,1.074,0.203,0.108,27.49,10.76,1.521,1.132,0.13,0.052,26.51,7.189,1.399,1.065,0.147,0.05,25.72,7.965,1.418,1.062,0.132,0.043,26.21,7.281,1.392,1.052,0.2,0.076,25.24,10.61,1.514,1.092,0.145,0.067,34.17,7.882,1.414,1.082,0.204,0.114,30.2,10.81,1.523,1.139,0.133,0.056,29.85,7.303,1.403,1.07,0.148,0.053,27.63,8.01,1.42,1.065,0.133,0.046,29.39,7.332,1.394,1.057,0.201,0.079,26.94,10.64,1.515,1.096,0.137,0.055,24.11,7.515,1.403,1.067,0.202,0.102,25.08,10.73,1.52,1.124,0.128,0.048,23.57,7.074,1.395,1.06,0.146,0.047,24.03,7.908,1.416,1.059,0.131,0.039,23.39,7.225,1.39,1.048,0.199,0.073,23.76,10.57,1.512,1.089
"2024-05-25 00:00:00",2,13,26.26,0.166,0.078,28.14,9,1.451,1.095,0.211,0.114,27.88,11.2,1.535,1.139,0.157,0.066,26.38,8.56,1.444,1.082,0.158,0.054,26.14,8.49,1.436,1.068,0.161,0.056,26.18,8.75,1.441,1.069,0.211,0.082,25.73,11.22,1.532,1.1,0.266,0.133,33.99,14.4,1.619,1.162,0.262,0.168,30.27,14.15,1.621,1.206,0.257,0.104,29.96,13.82,1.61,1.128,0.188,0.073,27.81,9.98,1.487,1.091,0.272,0.1,29.95,14.74,1.625,1.124,0.252,0.108,27.33,13.54,1.601,1.131,0.134,0.057,25.17,7.373,1.398,1.069,0.202,0.104,26.15,10.72,1.52,1.127,0.125,0.048,24.39,6.97,1.391,1.06,0.145,0.047,24.88,7.881,1.415,1.059,0.128,0.04,24.29,7.109,1.386,1.049,0.198,0.074,24.68,10.48,1.51,1.09
"2024-05-26 00:00:00",3,13.02,25.63,0.199,0.102,26.66,10.59,1.508,1.125,0.222,0.118,26.63,11.81,1.553,1.144,0.19,0.087,26.09,10.09,1.5,1.108,0.173,0.063,25.83,9.25,1.463,1.079,0.203,0.086,25.88,10.78,1.513,1.106,0.224,0.091,25.47,11.92,1.554,1.11,0.218,0.108,30.67,11.59,1.538,1.132,0.223,0.121,27.94,11.86,1.554,1.148,0.195,0.093,28.8,10.35,1.508,1.115,0.175,0.066,26.98,9.31,1.465,1.082,0.209,0.092,28.88,11.08,1.521,1.113,0.226,0.094,26.45,12.01,1.556,1.114,0.182,0.092,23.5,9.65,1.478,1.113,0.221,0.114,24.89,11.72,1.551,1.139,0.185,0.081,23.7,9.82,1.492,1.101,0.171,0.061,24.42,9.11,1.459,1.076,0.198,0.081,23.58,10.52,1.506,1.099,0.223,0.088,24.24,11.84,1.552,1.107
"2024-05-27 00:00:00",4,13.02,26.94,0.174,0.092,27.21,9.26,1.466,1.112,0.22,0.116,26.51,11.66,1.549,1.142,0.18,0.085,26.55,9.56,1.483,1.105,0.169,0.064,25.95,9.04,1.457,1.08,0.192,0.086,26.33,10.19,1.495,1.106,0.222,0.093,25.61,11.81,1.551,1.112,0.182,0.098,32.18,9.66,1.478,1.12,0.221,0.122,29.24,11.74,1.551,1.149,0.185,0.09,30.08,9.84,1.492,1.112,0.171,0.067,28.04,9.13,1.459,1.083,0.199,0.091,29.73,10.53,1.506,1.112,0.223,0.097,27.38,11.85,1.552,1.117,0.165,0.085,22.37,8.82,1.451,1.104,0.218,0.11,23.94,11.56,1.546,1.134,0.172,0.079,23.16,9.19,1.472,1.098,0.166,0.061,24.02,8.87,1.451,1.076,0.185,0.082,23.07,9.8,1.483,1.1,0.221,0.089,23.92,11.75,1.55,1.108
"2024-05-28 00:00:00",5,13.02,26.43,0.159,0.084,27.07,8.53,1.441,1.102,0.217,0.116,26.96,11.54,1.545,1.142,0.167,0.077,26.42,8.92,1.462,1.096,0.165,0.063,26.24,8.82,1.449,1.078,0.179,0.078,26.29,9.53,1.473,1.096,0.22,0.094,25.98,11.7,1.548,1.114,0.165,0.088,30.44,8.83,1.451,1.108,0.219,0.12,28.15,11.61,1.547,1.147,0.173,0.082,28.25,9.21,1.472,1.102,0.166,0.065,27.14,8.88,1.451,1.081,0.185,0.082,28.31,9.82,1.483,1.101,0.221,0.096,26.72,11.75,1.55,1.117,0.152,0.079,24.43,8.22,1.43,1.096,0.216,0.112,25.54,11.46,1.543,1.137,0.161,0.072,24.8,8.65,1.452,1.09,0.163,0.061,25.29,8.71,1.446,1.076,0.173,0.073,24.69,9.21,1.463,1.09,0.219,0.092,25.13,11.63,1.546,1.112
"2024-05-29 00:00:00",6,13.01,27.22,0.144,0.079,28.91,7.851,1.417,1.096,0.215,0.116,27.74,11.42,1.542,1.142,0.156,0.073,26.96,8.41,1.445,1.09,0.162,0.062,26.36,8.68,1.444,1.077,0.166,0.072,26.79,8.89,1.452,1.089,0.218,0.094,26.08,11.57,1.544,1.114,0.153,0.087,36.3,8.23,1.43,1.107,0.216,0.124,31.5,11.49,1.543,1.152,0.161,0.079,30.86,8.65,1.452,1.098,0.163,0.065,28.51,8.73,1.446,1.081,0.173,0.077,30.6,9.21,1.463,1.095,0.219,0.098,27.95,11.64,1.546,1.119,0.134,0.073,23.35,7.354,1.399,1.089,0.213,0.109,24.71,11.32,1.539,1.134,0.152,0.068,23.77,8.19,1.437,1.084,0.16,0.059,24.5,8.57,1.441,1.073,0.159,0.067,23.73,8.54,1.44,1.083,0.217,0.091,24.44,11.5,1.543,1.11
"2024-05-30 00:00:00",7,12.98,24.84,0.127,0.071,29.1,7.034,1.387,1.087,0.212,0.116,28.36,11.26,1.537,1.141,0.147,0.068,26.85,7.964,1.429,1.084,0.159,0.061,26.46,8.54,1.439,1.076,0.153,0.066,26.57,8.24,1.429,1.081,0.215,0.093,26.09,11.43,1.54,1.113,0.134,0.078,36.55,7.375,1.399,1.095,0.214,0.122,31.84,11.35,1.539,1.15,0.152,0.074,31.05,8.2,1.437,1.092,0.16,0.064,28.73,8.6,1.441,1.08,0.159,0.071,30.92,8.55,1.44,1.088,0.217,0.097,28.05,11.52,1.543,1.118,0.117,0.065,23.01,6.592,1.371,1.08,0.21,0.108,25.08,11.13,1.534,1.133,0.142,0.062,23.11,7.747,1.421,1.077,0.157,0.058,24.31,8.44,1.437,1.072,0.147,0.061,22.88,7.957,1.42,1.075,0.214,0.089,24.15,11.36,1.538,1.108
