"TOA5","Mdv_late","CR350","6774","CR350.Std.01.05","CPU:Cotton_Commission_2024.CRB","37476","Hourly"
"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","VWC_NC_5cm_Avg","EC_NC_5cm_Avg","T_NC_5cm_Avg","P_NC_5cm_Avg","PA_NC_5cm_Avg","VR_NC_5cm_Avg","VWC_NC_20cm_Avg","EC_NC_20cm_Avg","T_NC_20cm_Avg","P_NC_20cm_Avg","PA_NC_20cm_Avg","VR_NC_20cm_Avg","VWC_PB_5cm_Avg","EC_PB_5cm_Avg","T_PB_5cm_Avg","P_PB_5cm_Avg","PA_PB_5cm_Avg","VR_PB_5cm_Avg","VWC_PB_20cm_Avg","EC_PB_20cm_Avg","T_PB_20cm_Avg","P_PB_20cm_Avg","PA_PB_20cm_Avg","VR_PB_20cm_Avg","VWC_PG_5cm_Avg","EC_PG_5cm_Avg","T_PG_5cm_Avg","P_PG_5cm_Avg","PA_PG_5cm_Avg","VR_PG_5cm_Avg","VWC_PG_20cm_Avg","EC_PG_20cm_Avg","T_PG_20cm_Avg","P_PG_20cm_Avg","PA_PG_20cm_Avg","VR_PG_20cm_Avg","VWC_NC_5cm_Max","EC_NC_5cm_Max","T_NC_5cm_Max","P_NC_5cm_Max","PA_NC_5cm_Max","VR_NC_5cm_Max","VWC_NC_20cm_Max","EC_NC_20cm_Max","T_NC_20cm_Max","P_NC_20cm_Max","PA_NC_20cm_Max","VR_NC_20cm_Max","VWC_PB_5cm_Max","EC_PB_5cm_Max","T_PB_5cm_Max","P_PB_5cm_Max","PA_PB_5cm_Max","VR_PB_5cm_Max","VWC_PB_20cm_Max","EC_PB_20cm_Max","T_PB_20cm_Max","P_PB_20cm_Max","PA_PB_20cm_Max","VR_PB_20cm_Max","VWC_PG_5cm_Max","EC_PG_5cm_Max","T_PG_5cm_Max","P_PG_5cm_Max","PA_PG_5cm_Max","VR_PG_5cm_Max","VWC_PG_20cm_Max","EC_PG_20cm_Max","T_PG_20cm_Max","P_PG_20cm_Max","PA_PG_20cm_Max","VR_PG_20cm_Max","VWC_NC_5cm_Min","EC_NC_5cm_Min","T_NC_5cm_Min","P_NC_5cm_Min","PA_NC_5cm_Min","VR_NC_5cm_Min","VWC_NC_20cm_Min","EC_NC_20cm_Min","T_NC_20cm_Min","P_NC_20cm_Min","PA_NC_20cm_Min","VR_NC_20cm_Min","VWC_PB_5cm_Min","EC_PB_5cm_Min","T_PB_5cm_Min","P_PB_5cm_Min","PA_PB_5cm_Min","VR_PB_5cm_Min","VWC_PB_20cm_Min","EC_PB_20cm_Min","T_PB_20cm_Min","P_PB_20cm_Min","PA_PB_20cm_Min","VR_PB_20cm_Min","VWC_PG_5cm_Min","EC_PG_5cm_Min","T_PG_5cm_Min","P_PG_5cm_Min","PA_PG_5cm_Min","VR_PG_5cm_Min","VWC_PG_20cm_Min","EC_PG_20cm_Min","T_PG_20cm_Min","P_PG_20cm_Min","PA_PG_20cm_Min","VR_PG_20cm_Min"
"TS","RN","Volts","Deg C","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min"
"2024-05-22 15:00:00",0,13.44,33.51,0.09,0.043,32.44,5.419,1.324,1.052,0.12,0.042,26.92,6.711,1.369,1.051,0.121,0.033,31.17,6.762,1.376,1.04,0.124,0.031,25.9,6.898,1.377,1.038,0.107,0.031,30.65,6.153,1.343,1.039,0.148,0.038,25.37,8.02,1.422,1.046,0.09,0.043,32.46,5.421,1.324,1.053,0.12,0.042,26.96,6.713,1.369,1.052,0.121,0.033,31.19,6.763,1.376,1.041,0.124,0.031,25.94,6.901,1.377,1.038,0.107,0.031,30.66,6.156,1.343,1.039,0.148,0.038,25.38,8.02,1.422,1.047,0.09,0.042,32.41,5.417,1.324,1.052,0.12,0.041,26.9,6.71,1.369,1.051,0.121,0.033,31.15,6.76,1.376,1.04,0.124,0.03,25.85,6.897,1.377,1.037,0.107,0.031,30.62,6.15,1.343,1.038,0.148,0.038,25.36,8.02,1.422,1.046
"2024-05-22 16:00:00",1,13.44,33.21,0.089,0.043,32.39,5.395,1.323,1.052,0.119,0.042,27.37,6.709,1.369,1.052,0.12,0.033,30.72,6.746,1.375,1.04,0.124,0.031,26.25,6.897,1.377,1.038,0.107,0.031,30.38,6.139,1.342,1.038,0.148,0.038,25.66,8.03,1.422,1.047,0.09,0.043,32.51,5.422,1.324,1.053,0.12,0.043,27.75,6.713,1.369,1.053,0.121,0.033,31.16,6.764,1.376,1.041,0.124,0.032,26.52,6.9,1.377,1.039,0.107,0.031,30.66,6.157,1.343,1.039,0.149,0.039,25.92,8.05,1.423,1.047,0.088,0.042,32.21,5.362,1.321,1.052,0.119,0.041,26.93,6.704,1.369,1.051,0.12,0.033,30.37,6.73,1.374,1.039,0.124,0.03,25.91,6.894,1.377,1.037,0.106,0.03,30.13,6.124,1.342,1.038,0.148,0.038,25.37,8.01,1.422,1.046
"2024-05-22 17:00:00",2,13.45,33.41,0.089,0.042,32.09,5.366,1.321,1.052,0.119,0.043,27.97,6.706,1.369,1.053,0.119,0.033,30.27,6.705,1.373,1.04,0.124,0.031,26.67,6.896,1.377,1.038,0.106,0.03,30.08,6.116,1.341,1.038,0.148,0.038,26.08,8.02,1.422,1.047,0.089,0.043,32.24,5.397,1.322,1.053,0.12,0.043,28.17,6.735,1.37,1.054,0.12,0.033,30.41,6.736,1.374,1.04,0.124,0.032,26.83,6.898,1.377,1.039,0.106,0.031,30.25,6.13,1.342,1.039,0.149,0.039,26.25,8.05,1.423,1.048,0.088,0.042,31.98,5.336,1.32,1.051,0.119,0.042,27.72,6.702,1.369,1.052,0.119,0.032,30.08,6.671,1.372,1.039,0.124,0.031,26.49,6.894,1.377,1.038,0.106,0.03,29.92,6.096,1.341,1.038,0.148,0.038,25.9,8.01,1.422,1.046
"2024-05-22 18:00:00",3,13.42,33.65,0.088,0.042,32.21,5.328,1.32,1.051,0.119,0.043,28.34,6.704,1.369,1.053,0.118,0.033,30.29,6.662,1.372,1.04,0.123,0.031,26.94,6.88,1.376,1.038,0.105,0.03,30.19,6.085,1.34,1.038,0.148,0.039,26.36,8.01,1.422,1.047,0.088,0.043,32.33,5.341,1.32,1.052,0.119,0.043,28.55,6.706,1.369,1.054,0.119,0.033,30.53,6.676,1.372,1.04,0.124,0.032,27.1,6.898,1.377,1.039,0.106,0.031,30.36,6.1,1.341,1.039,0.148,0.039,26.52,8.02,1.422,1.048,0.087,0.041,31.99,5.309,1.319,1.051,0.119,0.042,28.15,6.7,1.369,1.053,0.118,0.032,29.87,6.641,1.371,1.039,0.123,0.031,26.78,6.862,1.376,1.038,0.105,0.03,29.86,6.067,1.339,1.037,0.148,0.038,26.2,8.01,1.422,1.047
"2024-05-22 19:00:00",4,13.33,32.61,0.087,0.041,31.56,5.302,1.319,1.051,0.119,0.043,28.63,6.691,1.368,1.053,0.117,0.032,29.29,6.618,1.37,1.039,0.123,0.031,27.14,6.865,1.376,1.038,0.105,0.03,29.49,6.059,1.339,1.037,0.148,0.039,26.6,8,1.422,1.047,0.087,0.042,32,5.317,1.319,1.052,0.119,0.044,28.71,6.706,1.369,1.054,0.118,0.033,29.9,6.648,1.371,1.04,0.124,0.032,27.21,6.894,1.377,1.039,0.105,0.031,29.88,6.074,1.339,1.038,0.148,0.039,26.68,8.02,1.422,1.048,0.087,0.041,31.13,5.284,1.318,1.05,0.119,0.043,28.5,6.67,1.368,1.053,0.117,0.032,28.61,6.586,1.369,1.038,0.123,0.031,27.07,6.861,1.376,1.038,0.104,0.03,29.08,6.041,1.338,1.037,0.147,0.038,26.47,7.979,1.421,1.047
"2024-05-22 20:00:00",5,13.24,30.82,0.087,0.041,30.5,5.305,1.318,1.05,0.119,0.043,28.65,6.673,1.368,1.053,0.116,0.031,28.07,6.572,1.368,1.038,0.123,0.031,27.1,6.863,1.376,1.038,0.104,0.029,28.46,6.039,1.338,1.037,0.147,0.039,26.67,7.982,1.421,1.047,0.088,0.042,31.13,5.323,1.319,1.051,0.119,0.044,28.73,6.676,1.368,1.054,0.117,0.032,28.65,6.591,1.369,1.039,0.123,0.032,27.2,6.868,1.376,1.039,0.105,0.03,29.09,6.049,1.338,1.038,0.147,0.039,26.71,7.984,1.421,1.048,0.086,0.04,29.77,5.263,1.317,1.049,0.119,0.042,28.55,6.67,1.368,1.053,0.116,0.031,27.53,6.558,1.368,1.037,0.122,0.031,26.98,6.834,1.374,1.037,0.104,0.029,27.84,6.016,1.337,1.036,0.147,0.038,26.63,7.979,1.421,1.047
"2024-05-22 21:00:00",6,13.15,27.19,0.086,0.04,29.11,5.27,1.317,1.049,0.118,0.043,28.41,6.653,1.367,1.053,0.116,0.031,27.1,6.54,1.367,1.038,0.122,0.031,26.88,6.836,1.374,1.038,0.104,0.029,27.36,6.016,1.337,1.036,0.147,0.038,26.57,7.963,1.42,1.047,0.086,0.04,29.78,5.275,1.317,1.05,0.119,0.043,28.6,6.676,1.368,1.054,0.116,0.032,27.54,6.564,1.368,1.038,0.122,0.031,27.03,6.839,1.374,1.038,0.104,0.029,27.86,6.023,1.337,1.037,0.147,0.039,26.67,7.985,1.421,1.047,0.086,0.039,28.49,5.265,1.317,1.048,0.118,0.042,28.21,6.641,1.367,1.052,0.115,0.03,26.72,6.531,1.367,1.037,0.122,0.03,26.72,6.833,1.374,1.037,0.103,0.028,26.92,5.991,1.336,1.035,0.147,0.038,26.45,7.948,1.42,1.046
"2024-05-22 22:00:00",7,13.12,25.24,0.086,0.039,28,5.252,1.316,1.048,0.118,0.042,27.99,6.623,1.366,1.052,0.115,0.03,26.43,6.504,1.365,1.037,0.122,0.03,26.6,6.83,1.374,1.037,0.103,0.029,26.6,5.994,1.336,1.036,0.146,0.038,26.35,7.943,1.419,1.046,0.086,0.04,28.49,5.277,1.317,1.049,0.118,0.043,28.22,6.649,1.367,1.053,0.116,0.031,26.75,6.535,1.367,1.038,0.122,0.031,26.76,6.841,1.374,1.038,0.103,0.029,26.94,5.998,1.336,1.036,0.147,0.038,26.51,7.954,1.42,1.047,0.086,0.038,27.54,5.244,1.316,1.047,0.117,0.041,27.76,6.614,1.365,1.051,0.114,0.03,26.14,6.477,1.364,1.036,0.122,0.03,26.44,6.806,1.373,1.037,0.103,0.028,26.3,5.99,1.336,1.035,0.146,0.037,26.21,7.918,1.419,1.046
