"TOA5","Mdv_late","CR350","6774","CR350.Std.01.05","CPU:Cotton_Commission_2024.CRB","37476","Daily"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Avg","VWC_NC_5cm_Avg","EC_NC_5cm_Avg","T_NC_5cm_Avg","P_NC_5cm_Avg","PA_NC_5cm_Avg","VR_NC_5cm_Avg","VWC_NC_20cm_Avg","EC_NC_20cm_Avg","T_NC_20cm_Avg","P_NC_20cm_Avg","PA_NC_20cm_Avg","VR_NC_20cm_Avg","VWC_PB_5cm_Avg","EC_PB_5cm_Avg","T_PB_5cm_Avg","P_PB_5cm_Avg","PA_PB_5cm_Avg","VR_PB_5cm_Avg","VWC_PB_20cm_Avg","EC_PB_20cm_Avg","T_PB_20cm_Avg","P_PB_20cm_Avg","PA_PB_20cm_Avg","VR_PB_20cm_Avg","VWC_PG_5cm_Avg","EC_PG_5cm_Avg","T_PG_5cm_Avg","P_PG_5cm_Avg","PA_PG_5cm_Avg","VR_PG_5cm_Avg","VWC_PG_20cm_Avg","EC_PG_20cm_Avg","T_PG_20cm_Avg","P_PG_20cm_Avg","PA_PG_20cm_Avg","VR_PG_20cm_Avg","VWC_NC_5cm_Max","EC_NC_5cm_Max","T_NC_5cm_Max","P_NC_5cm_Max","PA_NC_5cm_Max","VR_NC_5cm_Max","VWC_NC_20cm_Max","EC_NC_20cm_Max","T_NC_20cm_Max","P_NC_20cm_Max","PA_NC_20cm_Max","VR_NC_20cm_Max","VWC_PB_5cm_Max","EC_PB_5cm_Max","T_PB_5cm_Max","P_PB_5cm_Max","PA_PB_5cm_Max","VR_PB_5cm_Max","VWC_PB_20cm_Max","EC_PB_20cm_Max","T_PB_20cm_Max","P_PB_20cm_Max","PA_PB_20cm_Max","VR_PB_20cm_Max","VWC_PG_5cm_Max","EC_PG_5cm_Max","T_PG_5cm_Max","P_PG_5cm_Max","PA_PG_5cm_Max","VR_PG_5cm_Max","VWC_PG_20cm_Max","EC_PG_20cm_Max","T_PG_20cm_Max","P_PG_20cm_Max","PA_PG_20cm_Max","VR_PG_20cm_Max","VWC_NC_5cm_Min","EC_NC_5cm_Min","T_NC_5cm_Min","P_NC_5cm_Min","PA_NC_5cm_Min","VR_NC_5cm_Min","VWC_NC_20cm_Min","EC_NC_20cm_Min","T_NC_20cm_Min","P_NC_20cm_Min","PA_NC_20cm_Min","VR_NC_20cm_Min","VWC_PB_5cm_Min","EC_PB_5cm_Min","T_PB_5cm_Min","P_PB_5cm_Min","PA_PB_5cm_Min","VR_PB_5cm_Min","VWC_PB_20cm_Min","EC_PB_20cm_Min","T_PB_20cm_Min","P_PB_20cm_Min","PA_PB_20cm_Min","VR_PB_20cm_Min","VWC_PG_5cm_Min","EC_PG_5cm_Min","T_PG_5cm_Min","P_PG_5cm_Min","PA_PG_5cm_Min","VR_PG_5cm_Min","VWC_PG_20cm_Min","EC_PG_20cm_Min","T_PG_20cm_Min","P_PG_20cm_Min","PA_PG_20cm_Min","VR_PG_20cm_Min"
"TS","RN","Volts","Deg C","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min"
"2024-05-23 00:00:00",0,13.07,29.37,0.087,0.04,29.96,5.303,1.318,1.049,0.118,0.042,28,6.658,1.367,1.052,0.117,0.031,28.18,6.588,1.369,1.038,0.123,0.031,26.66,6.854,1.375,1.038,0.104,0.029,28.25,6.044,1.338,1.037,0.147,0.038,26.25,7.977,1.421,1.047,0.09,0.043,32.51,5.422,1.324,1.053,0.12,0.044,28.73,6.735,1.37,1.054,0.121,0.033,31.19,6.764,1.376,1.041,0.124,0.032,27.21,6.901,1.377,1.039,0.107,0.031,30.66,6.157,1.343,1.039,0.149,0.039,26.71,8.05,1.423,1.048,0.085,0.037,26.16,5.223,1.315,1.045,0.116,0.04,26.9,6.56,1.363,1.05,0.114,0.029,25.18,6.449,1.363,1.035,0.122,0.029,25.85,6.805,1.373,1.036,0.103,0.027,25.26,5.965,1.335,1.034,0.145,0.037,25.36,7.889,1.417,1.045
"2024-05-24 00:00:00",1,13.02,27.52,0.082,0.036,28.34,5.111,1.309,1.045,0.115,0.04,27.1,6.507,1.361,1.049,0.11,0.03,27.06,6.282,1.357,1.036,0.122,0.029,25.99,6.806,1.373,1.036,0.1,0.028,26.84,5.837,1.33,1.035,0.144,0.036,25.64,7.839,1.415,1.045,0.086,0.039,34.1,5.263,1.316,1.048,0.116,0.043,30.16,6.569,1.363,1.053,0.114,0.032,31.85,6.456,1.363,1.039,0.123,0.031,28.18,6.85,1.374,1.038,0.103,0.031,31.43,5.973,1.335,1.038,0.145,0.038,27.65,7.898,1.417,1.047,0.078,0.034,23.3,4.938,1.302,1.042,0.113,0.037,24.32,6.441,1.359,1.046,0.104,0.027,23.13,6.042,1.347,1.033,0.12,0.028,24,6.748,1.371,1.034,0.095,0.026,23.19,5.654,1.322,1.032,0.142,0.035,23.87,7.732,1.412,1.043
"2024-05-25 00:00:00",2,13.06,26.36,0.121,0.051,27.82,6.948,1.375,1.062,0.142,0.056,27.45,7.839,1.408,1.07,0.156,0.039,26.8,8.69,1.434,1.048,0.161,0.046,26.33,8.8,1.438,1.057,0.145,0.038,26.52,8.14,1.406,1.047,0.164,0.049,26,8.84,1.449,1.061,0.231,0.096,34.61,12.3,1.561,1.118,0.212,0.099,30.34,11.24,1.527,1.123,0.281,0.068,32.3,15.33,1.645,1.083,0.244,0.085,28.17,13.04,1.578,1.104,0.298,0.079,31.67,16.5,1.667,1.099,0.212,0.083,27.68,11.25,1.532,1.102,0.077,0.032,24.31,4.889,1.3,1.039,0.112,0.036,25.4,6.364,1.355,1.045,0.101,0.027,23.81,5.908,1.343,1.033,0.12,0.027,24.77,6.719,1.37,1.033,0.094,0.026,23.92,5.578,1.319,1.032,0.14,0.034,24.65,7.635,1.408,1.042
"2024-05-26 00:00:00",3,13.07,25.81,0.174,0.077,26.62,9.26,1.467,1.095,0.176,0.077,26.5,9.4,1.467,1.095,0.212,0.055,26.45,11.24,1.528,1.067,0.214,0.073,25.98,11.37,1.528,1.09,0.188,0.049,26.09,9.97,1.479,1.062,0.206,0.065,25.66,10.95,1.521,1.08,0.187,0.084,31.16,9.92,1.489,1.103,0.188,0.083,28.29,9.97,1.486,1.103,0.236,0.06,30.95,12.61,1.569,1.073,0.245,0.083,27.39,13.09,1.579,1.102,0.205,0.053,30.44,10.87,1.508,1.066,0.211,0.075,26.92,11.21,1.529,1.092,0.161,0.07,23.24,8.62,1.446,1.086,0.169,0.073,24.51,9.01,1.455,1.09,0.202,0.052,23.26,10.71,1.512,1.063,0.19,0.065,24.35,10.09,1.49,1.08,0.172,0.046,23.12,9.17,1.454,1.058,0.201,0.059,24.15,10.66,1.511,1.072
"2024-05-27 00:00:00",4,13.06,26.99,0.148,0.068,26.98,8.03,1.425,1.084,0.166,0.072,26.43,8.86,1.449,1.089,0.19,0.053,27.04,10.12,1.493,1.064,0.188,0.065,26.12,9.96,1.485,1.08,0.158,0.047,26.74,8.52,1.431,1.059,0.2,0.058,25.85,10.59,1.509,1.071,0.161,0.074,32.08,8.63,1.446,1.091,0.169,0.075,29.17,9.03,1.455,1.093,0.202,0.057,32.12,10.72,1.512,1.069,0.19,0.068,28.45,10.1,1.49,1.084,0.172,0.051,31.7,9.18,1.454,1.064,0.203,0.061,28.04,10.79,1.515,1.074,0.13,0.06,22.28,7.197,1.395,1.073,0.16,0.068,23.73,8.58,1.44,1.084,0.175,0.048,22.61,9.34,1.468,1.059,0.183,0.063,23.94,9.73,1.478,1.077,0.144,0.044,22.49,7.852,1.408,1.055,0.189,0.056,23.8,10.01,1.491,1.068
"2024-05-28 00:00:00",5,13.07,26.53,0.12,0.056,26.51,6.735,1.377,1.069,0.156,0.067,26.5,8.39,1.433,1.083,0.167,0.046,26.55,8.91,1.454,1.056,0.178,0.062,26.3,9.48,1.47,1.076,0.137,0.043,26.36,7.489,1.395,1.054,0.187,0.057,26.12,9.94,1.488,1.069,0.13,0.06,30.09,7.204,1.395,1.074,0.16,0.072,27.64,8.59,1.44,1.089,0.175,0.049,29.98,9.35,1.468,1.06,0.183,0.066,27.17,9.74,1.478,1.081,0.145,0.045,29.76,7.858,1.408,1.057,0.189,0.058,26.97,10.03,1.491,1.072,0.11,0.05,23.98,6.267,1.359,1.061,0.152,0.064,25.08,8.2,1.426,1.08,0.157,0.043,24.23,8.42,1.437,1.052,0.174,0.059,25.18,9.29,1.464,1.072,0.129,0.04,24.17,7.116,1.381,1.05,0.185,0.055,25.06,9.84,1.485,1.067
"2024-05-29 00:00:00",6,13.05,27.33,0.103,0.051,28.29,5.974,1.347,1.063,0.148,0.064,27.27,8.03,1.42,1.08,0.147,0.042,27.33,7.982,1.421,1.051,0.172,0.058,26.51,9.18,1.46,1.071,0.118,0.039,27.05,6.662,1.364,1.049,0.183,0.055,26.26,9.71,1.481,1.067,0.11,0.058,35.61,6.275,1.359,1.071,0.152,0.069,31.23,8.21,1.426,1.086,0.157,0.046,32.85,8.43,1.437,1.056,0.175,0.06,29.06,9.3,1.464,1.074,0.129,0.043,32.46,7.122,1.381,1.054,0.185,0.057,28.56,9.85,1.485,1.07,0.095,0.046,22.73,5.643,1.334,1.056,0.144,0.06,24.09,7.814,1.413,1.074,0.134,0.037,23.11,7.353,1.398,1.045,0.168,0.055,24.34,8.99,1.454,1.068,0.106,0.035,23.1,6.125,1.343,1.043,0.178,0.053,24.28,9.49,1.474,1.065
"2024-05-30 00:00:00",7,13.02,24.86,0.09,0.047,28.8,5.449,1.326,1.058,0.141,0.062,28,7.672,1.407,1.076,0.125,0.036,27.23,6.968,1.384,1.044,0.166,0.053,26.61,8.87,1.449,1.065,0.1,0.034,26.53,5.849,1.332,1.043,0.174,0.051,26.1,9.27,1.466,1.062,0.095,0.054,36.81,5.654,1.334,1.067,0.144,0.066,32.07,7.826,1.413,1.082,0.134,0.04,33.86,7.36,1.398,1.049,0.168,0.056,29.4,9,1.454,1.069,0.106,0.038,32.48,6.135,1.343,1.047,0.179,0.054,28.48,9.5,1.474,1.066,0.085,0.041,22.16,5.209,1.316,1.05,0.137,0.057,24.26,7.501,1.402,1.071,0.116,0.033,22.03,6.544,1.368,1.04,0.162,0.051,24.02,8.7,1.443,1.062,0.091,0.031,21.81,5.463,1.316,1.038,0.168,0.048,23.78,8.96,1.456,1.059
